2025-12-25 18:42:29,536 | INFO | trader.main | OK: config + logging initialized
2025-12-25 18:46:50,316 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,414 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,415 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,416 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,416 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,417 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,543 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,544 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,545 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,546 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,546 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,669 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,671 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,672 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,673 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,673 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,678 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,814 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,815 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,816 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,816 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,817 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,817 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,173 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,175 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,175 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,176 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,178 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,215 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,265 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,265 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,266 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,365 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,367 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,367 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,368 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,368 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,444 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,515 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,516 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,516 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,517 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,518 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,616 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:47:00,616 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
